fact_id,product_id,time_id,price,original_price,discount_percentage,availability,stock_level,rating,review_count,sales_velocity,is_trending
1,1,1,57.31,77.88,26.41,In Stock,447,3.65,422,137.85,True
2,1,2,64.92,64.92,0.0,In Stock,24,3.95,2915,143.38,False
3,1,3,46.36,72.87,36.38,In Stock,271,3.6,4577,148.51,True
4,1,4,73.99,73.99,0.0,In Stock,480,4.1,6562,102.06,False
5,1,5,66.35,66.35,0.0,In Stock,377,4.04,1966,118.69,False
6,1,6,78.05,78.05,0.0,In Stock,179,3.75,7307,73.96,False
7,1,7,79.85,79.85,0.0,In Stock,399,3.78,481,91.32,False
8,1,8,64.0,64.0,0.0,In Stock,202,4.01,7013,117.84,False
9,1,9,64.74,64.74,0.0,In Stock,133,3.73,4027,63.39,False
10,1,10,66.51,66.51,0.0,In Stock,407,4.09,4520,13.94,False
11,1,11,66.35,66.35,0.0,Low Stock,4,3.98,7649,38.29,False
12,1,12,67.19,67.19,0.0,Low Stock,6,3.99,4469,130.67,False
13,1,13,45.25,74.57,39.32,In Stock,350,4.28,1817,26.03,True
14,1,14,51.91,76.49,32.13,In Stock,383,3.74,4954,115.56,True
15,1,15,72.79,72.79,0.0,In Stock,114,4.24,7510,10.64,False
16,1,16,62.03,62.03,0.0,In Stock,397,4.15,1266,122.54,False
17,1,17,78.89,78.89,0.0,In Stock,440,4.07,1414,99.08,False
18,1,18,67.29,67.29,0.0,Low Stock,16,4.21,4980,33.41,False
19,1,19,72.62,72.62,0.0,In Stock,488,3.72,2759,59.34,False
20,1,20,68.15,68.15,0.0,In Stock,463,3.79,6318,13.06,False
21,1,21,78.92,78.92,0.0,Out of Stock,3,3.87,1326,118.04,False
22,1,22,41.35,71.21,41.93,In Stock,24,4.29,5865,32.06,True
23,1,23,48.82,66.99,27.12,Low Stock,8,4.27,6313,126.58,True
24,1,24,73.62,73.62,0.0,In Stock,438,3.91,6456,84.51,False
25,1,25,68.66,68.66,0.0,In Stock,230,3.99,507,73.88,False
26,1,26,59.34,81.02,26.76,In Stock,31,3.65,6213,125.26,True
27,1,27,81.57,81.57,0.0,In Stock,249,4.09,1795,30.8,False
28,1,28,70.26,70.26,0.0,In Stock,140,4.03,5363,62.53,False
29,1,29,75.1,75.1,0.0,In Stock,393,4.01,3718,96.24,False
30,1,30,69.95,69.95,0.0,Low Stock,14,4.28,6809,108.85,False
31,1,31,70.52,70.52,0.0,In Stock,66,4.09,5884,27.97,False
32,1,32,74.32,74.32,0.0,Low Stock,6,4.0,4747,49.5,False
33,1,33,66.62,66.62,0.0,In Stock,479,3.97,3780,98.22,False
34,1,34,76.44,76.44,0.0,In Stock,159,4.22,5684,48.99,False
35,1,35,74.11,74.11,0.0,In Stock,475,4.19,5073,115.57,False
36,1,36,59.54,59.54,0.0,In Stock,122,3.74,7107,33.33,False
37,1,37,65.77,65.77,0.0,In Stock,399,4.17,6933,114.85,False
38,1,38,74.59,74.59,0.0,Pre-Order,8,3.92,6244,115.33,False
39,1,39,72.22,72.22,0.0,In Stock,12,3.99,2331,29.91,False
40,1,40,39.91,66.04,39.56,In Stock,328,3.82,1957,48.66,True
41,1,41,46.6,75.36,38.16,In Stock,36,3.7,777,45.22,True
42,1,42,51.08,66.91,23.66,In Stock,347,4.27,432,57.9,True
43,1,43,63.77,63.77,0.0,Pre-Order,0,3.91,5256,145.22,False
44,1,44,60.69,60.69,0.0,In Stock,342,3.87,6407,51.3,False
45,1,45,67.62,67.62,0.0,In Stock,258,4.0,7875,29.43,False
46,1,46,57.77,74.39,22.34,Low Stock,4,3.96,4059,98.17,True
47,1,47,70.73,70.73,0.0,In Stock,110,4.18,2685,66.6,False
48,1,48,65.55,65.55,0.0,In Stock,390,3.67,6812,128.27,False
49,1,49,69.91,69.91,0.0,Low Stock,16,4.18,7571,20.38,False
50,1,50,70.88,70.88,0.0,In Stock,333,4.11,2994,145.2,False
51,1,51,68.62,68.62,0.0,In Stock,211,3.68,6307,21.52,False
52,1,52,68.55,68.55,0.0,In Stock,258,3.91,1017,144.76,False
53,1,53,68.11,68.11,0.0,In Stock,454,4.08,829,68.3,False
54,1,54,66.18,66.18,0.0,In Stock,219,4.14,7375,40.29,False
55,1,55,76.04,76.04,0.0,In Stock,456,4.23,7394,125.57,False
56,1,56,74.34,74.34,0.0,In Stock,389,3.72,2899,93.29,False
57,1,57,61.06,61.06,0.0,In Stock,16,4.21,4226,49.46,False
58,1,58,53.86,72.26,25.46,Pre-Order,17,4.1,988,31.64,True
59,1,59,78.01,78.01,0.0,In Stock,317,3.64,2868,108.03,False
60,1,60,48.29,76.85,37.17,Low Stock,20,3.9,3921,25.49,True
61,1,61,70.32,70.32,0.0,In Stock,60,4.25,1815,25.64,False
62,1,62,77.98,77.98,0.0,In Stock,53,4.19,3092,112.5,False
63,1,63,74.95,74.95,0.0,In Stock,302,4.06,547,51.55,False
64,1,64,59.75,59.75,0.0,In Stock,129,4.22,7973,143.6,False
65,1,65,62.14,62.14,0.0,Out of Stock,1,4.23,7089,86.28,False
66,1,66,64.89,64.89,0.0,In Stock,267,4.24,1180,128.09,False
67,1,67,61.87,61.87,0.0,In Stock,299,3.69,257,111.14,False
68,1,68,62.92,62.92,0.0,In Stock,74,3.74,1142,51.54,False
69,1,69,65.82,65.82,0.0,In Stock,75,3.74,902,112.79,False
70,1,70,69.82,69.82,0.0,In Stock,357,3.97,2298,22.7,False
71,1,71,67.64,67.64,0.0,In Stock,470,3.62,3544,15.61,False
72,1,72,58.05,58.05,0.0,In Stock,488,3.72,1431,68.18,False
73,1,73,65.35,65.35,0.0,Low Stock,9,3.67,525,79.57,False
74,1,74,64.63,64.63,0.0,In Stock,372,3.8,3931,53.51,False
75,1,75,47.43,67.05,29.26,In Stock,167,3.73,5171,124.46,True
76,1,76,70.97,70.97,0.0,In Stock,349,3.98,4633,71.51,False
77,1,77,68.21,68.21,0.0,In Stock,268,3.74,6228,121.52,False
78,1,78,62.23,62.23,0.0,In Stock,483,4.07,5579,111.94,False
79,1,79,67.01,67.01,0.0,In Stock,200,3.95,3921,89.17,False
80,1,80,70.73,70.73,0.0,Low Stock,14,4.27,57,14.52,False
81,1,81,73.32,73.32,0.0,In Stock,247,3.72,5040,128.37,False
82,1,82,73.14,73.14,0.0,In Stock,63,3.75,5371,50.38,False
83,1,83,65.04,65.04,0.0,In Stock,280,4.12,7790,38.41,False
84,1,84,68.12,68.12,0.0,Low Stock,9,3.68,6320,83.33,False
85,1,85,59.26,59.26,0.0,In Stock,41,3.92,7689,113.78,False
86,1,86,69.08,69.08,0.0,In Stock,215,4.16,3398,93.06,False
87,1,87,69.5,69.5,0.0,Out of Stock,6,4.17,4201,37.28,False
88,1,88,64.93,64.93,0.0,Pre-Order,13,3.71,6138,37.77,False
89,1,89,74.2,74.2,0.0,In Stock,195,4.08,4580,104.4,False
90,1,90,74.62,74.62,0.0,In Stock,10,4.15,2090,93.62,False
91,2,1,75.41,75.41,0.0,In Stock,235,3.83,2212,46.5,False
92,2,2,68.08,68.08,0.0,In Stock,323,4.11,7867,122.69,False
93,2,3,77.33,77.33,0.0,In Stock,176,4.03,6744,51.85,False
94,2,4,64.75,64.75,0.0,In Stock,357,3.65,779,22.44,False
95,2,5,73.72,73.72,0.0,In Stock,477,3.65,7750,143.7,False
96,2,6,69.76,69.76,0.0,Pre-Order,14,3.86,743,19.49,False
97,2,7,74.76,74.76,0.0,In Stock,75,3.64,6658,9.36,False
98,2,8,65.37,65.37,0.0,In Stock,450,3.85,4818,145.26,False
99,2,9,71.31,71.31,0.0,In Stock,81,3.82,4103,22.56,False
100,2,10,65.87,65.87,0.0,In Stock,193,3.82,6869,74.89,False
101,2,11,67.31,67.31,0.0,Low Stock,18,3.83,3601,86.19,False
102,2,12,66.08,66.08,0.0,In Stock,477,3.61,6839,35.47,False
103,2,13,68.79,68.79,0.0,In Stock,415,3.97,6513,52.85,False
104,2,14,73.18,73.18,0.0,In Stock,275,4.25,3789,139.49,False
105,2,15,60.65,60.65,0.0,In Stock,267,4.16,7924,130.98,False
106,2,16,60.9,60.9,0.0,In Stock,268,3.77,226,21.82,False
107,2,17,78.31,78.31,0.0,In Stock,20,3.73,180,86.82,False
108,2,18,72.01,72.01,0.0,In Stock,76,3.76,3756,52.64,False
109,2,19,76.97,76.97,0.0,Pre-Order,19,3.64,1594,126.71,False
110,2,20,68.82,68.82,0.0,Low Stock,0,3.95,139,126.83,False
111,2,21,54.34,68.42,20.58,In Stock,496,4.1,7570,81.76,True
112,2,22,64.84,64.84,0.0,In Stock,236,4.07,3734,27.23,False
113,2,23,64.27,64.27,0.0,In Stock,201,4.1,7563,115.28,False
114,2,24,72.21,72.21,0.0,Low Stock,5,4.21,1921,76.02,False
115,2,25,45.5,77.69,41.44,In Stock,134,3.85,2466,57.71,True
116,2,26,76.83,76.83,0.0,In Stock,320,3.62,2095,75.59,False
117,2,27,49.91,70.88,29.59,In Stock,436,4.08,1350,15.61,True
118,2,28,68.06,68.06,0.0,In Stock,125,3.9,5039,77.06,False
119,2,29,68.48,68.48,0.0,Low Stock,7,4.06,2825,36.86,False
120,2,30,68.35,68.35,0.0,In Stock,453,4.04,6928,7.53,False
121,2,31,69.09,69.09,0.0,In Stock,442,3.86,2276,61.76,False
122,2,32,75.08,75.08,0.0,In Stock,178,4.19,1246,117.99,False
123,2,33,71.65,71.65,0.0,In Stock,456,4.23,1606,78.92,False
124,2,34,49.81,68.22,26.99,In Stock,266,3.89,576,70.76,True
125,2,35,62.62,62.62,0.0,Low Stock,8,4.15,699,15.34,False
126,2,36,59.62,59.62,0.0,In Stock,248,4.28,4694,143.02,False
127,2,37,60.56,60.56,0.0,In Stock,58,4.25,6141,79.74,False
128,2,38,68.22,68.22,0.0,In Stock,161,4.16,5008,75.87,False
129,2,39,65.64,65.64,0.0,Out of Stock,3,3.87,4923,127.61,False
130,2,40,64.24,64.24,0.0,In Stock,395,4.03,5315,14.15,False
131,2,41,53.34,72.75,26.68,In Stock,432,4.03,3852,125.25,True
132,2,42,76.0,76.0,0.0,In Stock,454,3.96,4886,59.11,False
133,2,43,62.22,62.22,0.0,In Stock,480,3.75,1750,142.16,False
134,2,44,69.69,69.69,0.0,Out of Stock,13,3.63,1468,73.03,False
135,2,45,69.83,69.83,0.0,In Stock,238,4.26,7075,56.17,False
136,2,46,75.54,75.54,0.0,In Stock,171,3.71,1229,9.6,False
137,2,47,64.51,64.51,0.0,In Stock,305,4.21,4027,145.92,False
138,2,48,71.47,71.47,0.0,In Stock,238,3.88,7615,13.67,False
139,2,49,64.47,64.47,0.0,In Stock,476,3.79,1448,123.26,False
140,2,50,62.7,62.7,0.0,In Stock,377,3.7,1461,142.53,False
141,2,51,59.88,59.88,0.0,In Stock,114,4.06,3896,35.96,False
142,2,52,68.96,68.96,0.0,Low Stock,12,4.26,5001,28.92,False
143,2,53,71.35,71.35,0.0,In Stock,254,4.07,3980,23.65,False
144,2,54,65.95,65.95,0.0,In Stock,195,4.21,5390,46.1,False
145,2,55,68.96,68.96,0.0,In Stock,24,3.85,7556,125.9,False
146,2,56,70.97,70.97,0.0,Low Stock,14,4.24,2592,52.18,False
147,2,57,61.04,61.04,0.0,In Stock,353,3.9,3932,78.75,False
